category,valor
2023-09-25,743
2023-09-26,752
2023-09-27,773
2023-09-28,785
2023-09-29,805
2023-10-02,798
2023-10-03,805
2023-10-04,845
2023-10-05,843
2023-10-06,895
2023-10-09,930
2023-10-10,1025
2023-10-11,1020
2023-10-12,970
2023-10-17,985
2023-10-18,930
2023-10-19,900
2023-10-20,900
2023-10-23,1100
2023-10-24,1075
2023-10-25,1000
2023-10-26,980
2023-10-27,990
2023-10-30,970
2023-10-31,920
2023-11-01,915
2023-11-02,915
2023-11-03,920
2023-11-07,890
2023-11-08,890
2023-11-09,950
2023-11-10,955
2023-11-13,925
2023-11-14,925
2023-11-15,1000
2023-11-16,960
2023-11-17,950
2023-11-21,1075
2023-11-22,1075
2023-11-23,1055
2023-11-24,1000
2023-11-27,995
2023-11-28,975
2023-11-29,930
2023-11-30,895
2023-12-01,955
2023-12-04,950
2023-12-05,910
2023-12-06,930
2023-12-07,995
2023-12-11,980
2023-12-12,1005
2023-12-13,1115
2023-12-14,995
2023-12-15,970
2023-12-18,985
2023-12-19,995
2023-12-20,995
2023-12-21,975
2023-12-22,980
2023-12-26,995
2023-12-27,1000
2023-12-28,1000
2023-12-29,1015
2024-01-02,1015
2024-01-03,1005
2024-01-04,1015
2024-01-05,1020
2024-01-08,1030
2024-01-09,1120
2024-01-10,1150
2024-01-11,1120
2024-01-12,1120
2024-01-15,1135
2024-01-16,1160
2024-01-17,1240
2024-01-18,1240
2024-01-19,1225
2024-01-22,1235
2024-01-23,1240
2024-01-24,1255
2024-01-25,1255
2024-01-26,1220
2024-01-29,1225
2024-01-30,1215
2024-01-31,1195
2024-02-01,1185
2024-02-02,1180
2024-02-05,1170
2024-02-06,1140
2024-02-07,1175
2024-02-08,1145
2024-02-09,1145
2024-02-14,1125
2024-02-15,1060
2024-02-16,1085
2024-02-19,1110
2024-02-20,1110
2024-02-21,1115
2024-02-22,1085
2024-02-23,1085
2024-02-26,1080
2024-02-27,1075
2024-02-28,1045
2024-02-29,1030
2024-03-01,1040
2024-03-04,1020
2024-03-05,1010
2024-03-06,995
2024-03-07,980
2024-03-08,985
2024-03-11,990
2024-03-12,1020
2024-03-13,1030
2024-03-14,1035
2024-03-15,1020
2024-03-18,1025
2024-03-19,1035
2024-03-20,1030
2024-03-21,1030
2024-03-22,1020
