fecha,dolar_blue,dolar_oficial,valor,rsi,day_of_week,is_end_of_month,brecha
2017-01-03,17.11,15.945,17.11,100.0,1,0,0.07306365631859511
2017-01-04,16.96,16.08,16.96,91.22807017543875,2,0,0.05472636815920415
2017-01-05,16.87,15.96,16.87,86.33461047254168,3,0,0.05701754385964913
2017-01-06,16.86,15.81,16.86,85.78401067256704,4,0,0.06641366223908911
2017-01-09,16.88,15.885,16.88,85.97663801766355,0,0,0.06263770853005976
2017-01-10,16.85,15.85,16.85,84.1350447330895,1,0,0.06309148264984238
2017-01-11,16.8,15.85,16.8,81.02017510321494,2,0,0.05993690851735023
2017-01-12,16.83,15.81,16.83,81.46360418527249,3,0,0.06451612903225792
2017-01-13,16.79,15.853,16.79,78.81943812850082,4,0,0.05910553207594773
2017-01-16,16.81,15.88,16.81,79.18326305243225,0,0,0.058564231738035134
2017-01-17,16.85,15.909,16.85,79.92594811940495,1,0,0.0591489094223396
2017-01-18,16.88,15.975,16.88,80.48820554094449,2,0,0.056651017214397456
2017-01-19,16.89,15.9,16.89,80.68243538285662,3,0,0.06226415094339624
2017-01-20,16.86,15.915,16.86,78.16848682049975,4,0,0.05937794533459003
2017-01-23,16.88,15.94,16.88,78.64617714892891,0,0,0.05897114178168127
2017-01-24,16.87,15.93,16.87,77.73036165645873,1,0,0.05900816070307604
2017-01-25,16.85,15.955,16.85,75.82850602238935,2,0,0.05609526794108438
2017-01-26,16.8,15.92,16.8,71.14211701410198,3,1,0.05527638190954779
2017-01-27,16.8,15.9,16.8,71.14211701410198,4,1,0.05660377358490568
2017-01-30,16.7,15.92,16.7,62.222384178980256,0,1,0.04899497487437182
2017-01-31,16.64,15.897,16.64,57.559267780010586,1,1,0.046738378310373044
2017-02-01,16.61,15.8,16.61,55.32662879300609,2,0,0.051265822784810046
2017-02-02,16.51,15.68,16.51,48.56447053415487,3,0,0.052933673469387876
2017-02-03,16.48,15.62,16.48,46.71963971395313,4,0,0.055057618437900205
2017-02-06,16.48,15.78,16.48,46.71963971395313,0,0,0.044359949302915154
2017-02-07,16.49,15.675,16.49,47.490759305885625,1,0,0.0519936204146729
2017-02-08,16.48,15.675,16.48,46.761920303010086,2,0,0.05135566188197765
2017-02-09,16.43,15.61,16.43,43.19259237289485,3,0,0.05253042921204358
2017-02-10,16.43,15.54,16.43,43.19259237289485,4,0,0.05727155727155731
2017-02-13,16.45,15.485,16.45,45.13533903249115,0,0,0.062318372618663215
2017-02-14,16.41,15.47,16.41,42.03880245180476,1,0,0.06076276664511955
2017-02-15,16.32,15.36,16.32,36.046546326534155,2,0,0.06250000000000006
2017-02-16,16.28,15.435,16.28,33.74434549543183,3,0,0.05474570780693234
2017-02-17,16.48,15.68,16.48,50.69902955820695,4,0,0.051020408163265356
2017-02-20,16.49,15.685,16.49,51.369120222046185,0,0,0.05132291998724883
2017-02-21,16.42,15.61,16.42,46.59493232229903,1,0,0.05188981422165293
2017-02-22,16.35,15.565,16.35,42.355640469416336,2,0,0.0504336652746548
2017-02-23,16.26,15.5,16.26,37.61686256889463,3,0,0.04903225806451623
2017-02-24,16.28,15.48,16.28,39.24360672576716,4,0,0.05167958656330754
2017-03-01,16.24,15.42,16.24,37.156696274325945,2,0,0.05317769130998693
2017-03-02,16.02,15.4,16.02,28.256483562350624,3,0,0.04025974025974021
2017-03-03,16.07,15.45,16.07,32.22963505828287,4,0,0.04012944983818777
2017-03-06,16.1,15.48,16.1,34.570945717719624,0,0,0.040051679586563374
2017-03-07,16.09,15.55,16.09,34.14745780052357,1,0,0.03472668810289383
2017-03-08,16.02,15.645,16.02,31.260694903580244,2,0,0.023969319271332695
2017-03-09,16.02,15.53,16.02,31.260694903580244,3,0,0.03155183515775919
2017-03-10,16.04,15.48,16.04,33.13379394857172,4,0,0.03617571059431516
2017-03-13,16.08,15.54,16.08,36.840667853883474,0,0,0.034749034749034693
2017-03-14,16.07,15.535,16.07,36.29889255769763,1,0,0.03443836498229805
2017-03-15,16.06,15.57,16.06,35.73298475612398,2,0,0.031470777135516916
2017-03-16,16.04,15.53,16.04,34.572090594113845,3,0,0.03283966516419831
2017-03-17,16.07,15.56,16.07,37.8345731308021,4,0,0.03277634961439587
2017-03-20,16.2,15.63,16.2,49.56960564491134,0,0,0.03646833013435691
2017-03-21,16.13,15.6,16.13,44.678842189647824,1,0,0.03397435897435894
2017-03-22,16.08,15.635,16.08,41.52710835961808,2,0,0.02846178445794682
2017-03-23,16.09,15.59,16.09,42.402229102866535,3,0,0.03207184092366902
2017-03-27,16.11,15.565,16.11,44.20091433269887,0,1,0.035014455509155155
2017-03-28,16.07,15.538,16.07,41.415275992366986,1,1,0.0342386407517055
2017-03-29,15.9,15.43,15.9,32.14354432454877,2,1,0.03046014257939084
2017-03-30,15.89,15.41,15.89,31.694060631136793,3,1,0.0311486048020766
2017-03-31,15.98,15.39,15.98,39.84684211860518,4,1,0.03833658219623131
2017-04-03,15.99,15.395,15.99,40.6938534386385,0,0,0.03864891198441057
2017-04-04,15.88,15.35,15.88,34.876320952248776,1,0,0.03452768729641701
