fecha,dolar_blue
2017-01-02,16.99
2017-01-03,17.11
2017-01-04,16.96
2017-01-05,16.87
2017-01-06,16.86
2017-01-09,16.88
2017-01-10,16.85
2017-01-11,16.8
2017-01-12,16.83
2017-01-13,16.79
2017-01-16,16.81
2017-01-17,16.85
2017-01-18,16.88
2017-01-19,16.89
2017-01-20,16.86
2017-01-23,16.88
2017-01-24,16.87
2017-01-25,16.85
2017-01-26,16.8
2017-01-27,16.8
2017-01-30,16.7
2017-01-31,16.64
2017-02-01,16.61
2017-02-02,16.51
2017-02-03,16.48
2017-02-06,16.48
2017-02-07,16.49
2017-02-08,16.48
2017-02-09,16.43
2017-02-10,16.43
2017-02-13,16.45
2017-02-14,16.41
2017-02-15,16.32
2017-02-16,16.28
2017-02-17,16.48
2017-02-20,16.49
2017-02-21,16.42
2017-02-22,16.35
2017-02-23,16.26
2017-02-24,16.28
2017-03-01,16.24
2017-03-02,16.02
2017-03-03,16.07
2017-03-06,16.1
2017-03-07,16.09
2017-03-08,16.02
2017-03-09,16.02
2017-03-10,16.04
2017-03-13,16.08
2017-03-14,16.07
2017-03-15,16.06
2017-03-16,16.04
2017-03-17,16.07
2017-03-20,16.2
2017-03-21,16.13
2017-03-22,16.08
2017-03-23,16.09
2017-03-27,16.11
2017-03-28,16.07
2017-03-29,15.9
2017-03-30,15.89
2017-03-31,15.98
2017-04-03,15.99
2017-04-04,15.88
2017-04-05,15.87
2017-04-06,15.87
2017-04-07,15.69
2017-04-10,15.63
2017-04-11,15.69
2017-04-12,15.69
2017-04-17,15.91
2017-04-18,15.87
2017-04-19,16.1
2017-04-20,16.09
2017-04-21,16.09
2017-04-24,16.12
2017-04-25,16.1
2017-04-26,16.06
2017-04-27,15.95
2017-04-28,15.99
2017-05-02,15.97
2017-05-03,15.89
2017-05-04,15.91
2017-05-05,15.91
2017-05-08,16.01
2017-05-09,15.95
2017-05-10,15.94
2017-05-11,15.92
2017-05-12,15.93
2017-05-15,15.97
2017-05-16,16.05
2017-05-17,16.06
2017-05-18,16.2
2017-05-19,16.11
2017-05-22,16.22
2017-05-23,16.28
2017-05-24,16.29
2017-05-26,16.34
2017-05-29,16.41
2017-05-30,16.45
2017-05-31,16.39
2017-06-01,16.3
2017-06-02,16.32
2017-06-05,16.34
2017-06-06,16.38
2017-06-07,16.36
2017-06-08,16.34
2017-06-09,16.35
2017-06-12,16.41
2017-06-13,16.48
2017-06-14,16.51
2017-06-15,16.49
2017-06-16,16.53
2017-06-19,16.64
2017-06-21,16.7
2017-06-22,16.53
2017-06-23,16.56
2017-06-26,16.67
2017-06-27,16.72
2017-06-28,16.67
2017-06-29,16.71
2017-06-30,16.84
2017-07-03,16.84
2017-07-04,16.96
2017-07-05,17.21
2017-07-06,17.25
2017-07-07,17.2
2017-07-10,17.3
2017-07-11,17.42
2017-07-12,17.5
2017-07-13,17.6
2017-07-14,17.57
2017-07-17,17.72
2017-07-18,17.84
2017-07-19,17.82
2017-07-20,17.84
2017-07-21,17.96
2017-07-24,18.05
2017-07-25,18.14
2017-07-26,18.27
2017-07-27,18.42
2017-07-28,18.43
2017-07-31,18.09
2017-08-01,18.09
2017-08-02,18.26
2017-08-03,18.18
2017-08-04,18.15
2017-08-07,18.19
2017-08-08,18.4
2017-08-09,18.41
2017-08-10,18.48
2017-08-11,18.48
2017-08-14,18.1
2017-08-15,18.15
2017-08-16,18.3
2017-08-17,18.35
2017-08-18,18.3
2017-08-22,18.32
2017-08-23,18.3
2017-08-24,18.26
2017-08-25,18.28
2017-08-28,18.31
2017-08-29,18.29
2017-08-30,18.26
2017-08-31,18.26
2017-09-01,18.15
2017-09-04,18.1
2017-09-05,17.99
2017-09-06,17.95
2017-09-07,17.83
2017-09-08,17.88
2017-09-11,17.94
2017-09-12,17.88
2017-09-13,17.85
2017-09-14,17.86
2017-09-15,17.84
2017-09-18,17.92
2017-09-19,17.95
2017-09-20,17.97
2017-09-21,17.95
2017-09-22,17.95
2017-09-25,17.97
2017-09-26,18.05
2017-09-27,17.99
2017-09-28,17.97
2017-09-29,17.91
2017-10-02,17.96
2017-10-03,17.9
2017-10-04,17.82
2017-10-05,17.8
2017-10-06,17.78
2017-10-09,17.87
2017-10-10,17.86
2017-10-11,17.85
2017-10-12,17.89
2017-10-13,17.9
2017-10-17,18.02
2017-10-18,18.05
2017-10-19,17.98
2017-10-20,18.01
2017-10-23,18.07
2017-10-24,18.14
2017-10-25,18.1
2017-10-26,18.08
2017-10-27,18.12
2017-10-30,18.15
2017-10-31,18.1
2017-11-01,18.03
2017-11-02,18.03
2017-11-03,18.01
2017-11-07,18.0
2017-11-08,17.9
2017-11-09,17.95
2017-11-10,17.98
2017-11-13,18.08
2017-11-14,18.07
2017-11-15,18.06
2017-11-16,18.06
2017-11-17,18.09
2017-11-21,18.12
2017-11-22,18.14
2017-11-23,18.1
2017-11-24,18.07
2017-11-27,18.11
2017-11-28,18.14
2017-11-29,18.12
2017-11-30,17.96
2017-12-01,18.01
2017-12-04,18.07
2017-12-05,17.96
2017-12-06,17.95
2017-12-07,17.88
2017-12-11,17.93
2017-12-12,17.95
2017-12-13,17.93
2017-12-14,17.96
2017-12-15,18.09
2017-12-18,18.25
2017-12-19,18.16
2017-12-20,18.06
2017-12-21,18.09
2017-12-22,18.3
2017-12-26,18.9
2017-12-27,19.05
2017-12-28,19.27
2017-12-29,19.28
2018-01-02,19.25
2018-01-03,19.29
2018-01-04,19.41
2018-01-05,19.45
2018-01-08,19.58
2018-01-09,19.54
2018-01-10,19.32
2018-01-11,19.41
2018-01-12,19.54
2018-01-15,19.61
2018-01-16,19.6
2018-01-17,19.62
2018-01-18,19.64
2018-01-19,19.69
2018-01-22,19.8
2018-01-23,19.88
2018-01-24,20.03
2018-01-25,19.96
2018-01-26,19.98
2018-01-29,20.03
2018-01-30,20.04
2018-01-31,19.95
2018-02-01,19.93
2018-02-02,19.92
2018-02-05,19.92
2018-02-06,19.89
2018-02-07,19.85
2018-02-08,19.93
2018-02-09,20.23
2018-02-14,19.96
2018-02-15,19.86
2018-02-16,19.91
2018-02-19,20.23
2018-02-20,20.16
2018-02-21,20.11
2018-02-22,20.07
2018-02-23,20.1
2018-02-26,20.37
2018-02-27,20.28
2018-02-28,20.27
2018-03-01,20.28
2018-03-02,20.4
2018-03-05,20.28
2018-03-06,20.43
2018-03-07,20.5
2018-03-08,20.51
2018-03-09,20.61
2018-03-12,20.69
2018-03-13,20.67
2018-03-14,20.77
2018-03-15,20.82
2018-03-16,20.89
2018-03-19,20.92
2018-03-20,20.97
2018-03-21,20.98
2018-03-22,20.9
2018-03-23,20.94
2018-03-26,20.88
2018-03-27,20.76
2018-03-28,20.76
2018-04-03,20.82
2018-04-04,20.6
2018-04-05,20.38
2018-04-06,20.64
2018-04-09,20.51
2018-04-10,20.4
2018-04-11,20.44
2018-04-12,20.48
2018-04-13,20.47
2018-04-16,20.48
2018-04-17,20.61
2018-04-18,20.63
2018-04-19,20.55
2018-04-20,20.58
2018-04-23,20.57
2018-04-24,20.59
2018-04-25,20.56
2018-04-26,20.68
2018-04-27,20.88
2018-05-02,21.1
2018-05-03,21.55
2018-05-04,21.7
2018-05-07,22.0
2018-05-08,22.7
2018-05-09,23.15
2018-05-10,23.3
2018-05-11,24.25
2018-05-14,26.8
2018-05-15,24.8
2018-05-16,25.0
2018-05-17,25.2
2018-05-18,25.4
2018-05-21,25.4
2018-05-22,25.4
2018-05-23,25.4
2018-05-24,25.55
2018-05-28,25.85
2018-05-29,25.85
2018-05-30,25.9
2018-05-31,25.97
2018-06-01,26.0
2018-06-04,26.0
2018-06-05,25.9
2018-06-06,25.55
2018-06-07,25.55
2018-06-08,25.8
2018-06-11,26.1
2018-06-12,26.3
2018-06-13,26.6
2018-06-14,27.9
2018-06-15,28.1
2018-06-18,28.15
2018-06-19,28.35
2018-06-21,28.0
2018-06-22,27.95
2018-06-25,27.95
2018-06-26,28.0
2018-06-27,27.95
2018-06-28,28.15
2018-06-29,28.95
2018-07-02,28.95
2018-07-03,29.0
