"Date","Price","Open","High","Low","Vol.","Change %"
"12/11/2025","1,440.00","1,450.00","1,450.00","1,440.00","","0.00%"
"12/10/2025","1,440.00","1,450.00","1,450.00","1,440.00","","0.35%"
"12/09/2025","1,435.00","1,445.00","1,445.00","1,435.00","","0.70%"
"12/05/2025","1,425.00","1,425.00","1,425.00","1,425.00","","0.35%"
"12/04/2025","1,420.00","1,455.00","1,420.00","1,420.00","","-0.70%"
"12/03/2025","1,430.00","1,455.00","1,430.00","1,430.00","","-0.35%"
"12/02/2025","1,435.00","1,455.00","1,435.00","1,435.00","","0.00%"
"12/01/2025","1,435.00","1,455.00","1,435.00","1,435.00","","0.70%"
"11/28/2025","1,425.00","1,445.00","1,425.00","1,425.00","","-0.35%"
"11/27/2025","1,430.00","1,450.00","1,430.00","1,430.00","","-0.69%"
"11/26/2025","1,440.00","1,470.00","1,440.00","1,440.00","","-0.69%"
"11/25/2025","1,450.00","1,445.00","1,450.00","1,450.00","","2.47%"
"11/20/2025","1,415.00","1,440.00","1,415.00","1,415.00","","-0.35%"
"11/19/2025","1,420.00","1,440.00","1,420.00","1,420.00","","0.00%"
"11/18/2025","1,420.00","1,440.00","1,420.00","1,420.00","","-0.35%"
"11/17/2025","1,425.00","1,440.00","1,425.00","1,425.00","","0.35%"
"11/14/2025","1,420.00","1,445.00","1,420.00","1,420.00","","-0.35%"
"11/13/2025","1,425.00","1,445.00","1,425.00","1,425.00","","0.00%"
"11/12/2025","1,425.00","1,450.00","1,425.00","1,425.00","","-0.35%"
"11/11/2025","1,430.00","1,440.00","1,430.00","1,430.00","","1.06%"
"11/10/2025","1,415.00","1,430.00","1,415.00","1,415.00","","0.71%"
"11/07/2025","1,405.00","1,445.00","1,405.00","1,405.00","","-1.75%"
"11/05/2025","1,430.00","1,445.00","1,445.00","1,430.00","","-1.38%"
"11/04/2025","1,450.00","1,460.00","1,450.00","1,450.00","","1.05%"
"11/03/2025","1,435.00","1,440.00","1,435.00","1,435.00","","0.00%"
"10/31/2025","1,435.00","1,465.00","1,435.00","1,435.00","","-0.69%"
"10/30/2025","1,445.00","1,460.00","1,445.00","1,445.00","","-0.34%"
"10/29/2025","1,450.00","1,460.00","1,450.00","1,450.00","","-0.68%"
"10/28/2025","1,460.00","1,410.00","1,460.00","1,460.00","","0.34%"
"10/27/2025","1,455.00","1,400.00","1,455.00","1,400.00","","-3.96%"
"10/24/2025","1,515.00","1,510.00","1,515.00","1,510.00","","0.00%"
"10/23/2025","1,515.00","1,545.00","1,545.00","1,515.00","","-1.62%"
"10/22/2025","1,540.00","1,525.00","1,540.00","1,525.00","","0.33%"
"10/21/2025","1,535.00","1,525.00","1,535.00","1,525.00","","2.68%"
"10/20/2025","1,495.00","1,490.00","1,495.00","1,490.00","","1.36%"
"10/17/2025","1,475.00","1,490.00","1,475.00","1,475.00","","1.37%"
"10/16/2025","1,455.00","1,490.00","1,455.00","1,455.00","","1.04%"
"10/15/2025","1,440.00","1,490.00","1,440.00","1,440.00","","2.13%"
"10/14/2025","1,410.00","1,490.00","1,410.00","1,410.00","","1.08%"
"10/13/2025","1,395.00","1,490.00","1,395.00","1,395.00","","-4.78%"
"10/09/2025","1,465.00","1,490.00","1,465.00","1,465.00","","0.00%"
"10/08/2025","1,465.00","1,480.00","1,465.00","1,465.00","","1.03%"
"10/07/2025","1,450.00","1,455.00","1,450.00","1,450.00","","0.69%"
"10/06/2025","1,440.00","1,455.00","1,440.00","1,440.00","","0.70%"
"10/03/2025","1,430.00","1,455.00","1,430.00","1,430.00","","-0.69%"
"10/02/2025","1,440.00","1,470.00","1,440.00","1,440.00","","-0.69%"
"10/01/2025","1,450.00","1,475.00","1,450.00","1,450.00","","1.05%"
"09/30/2025","1,435.00","1,440.00","1,435.00","1,435.00","","1.06%"
"09/29/2025","1,420.00","1,445.00","1,420.00","1,420.00","","-0.70%"
"09/26/2025","1,430.00","1,420.00","1,430.00","1,430.00","","2.14%"
"09/25/2025","1,400.00","1,405.00","1,400.00","1,400.00","","0.36%"
"09/24/2025","1,395.00","1,395.00","1,395.00","1,395.00","","-0.36%"
"09/23/2025","1,400.00","1,445.00","1,400.00","1,400.00","","-4.44%"
